restriction_id,from_lat,from_lon,to_lat,to_lon,speed_limit_kmph,route,direction,description 
383,19.18772652,73.05800995,19.18959257,73.05463182,30,RN-BSR,DN,dw-bsr
384,19.18959257,73.05463182,19.1859581,73.0614405,20,RN-BSR,DN,dw-bsr
385,19.20160123,73.06532948,19.19930479,73.07818056,40,RN-BSR,DN,dw-bsr
386,19.19930479,73.07818056,19.2113598,73.08033309,65,RN-BSR,DN,dw-bsr
387,19.28966719,73.02265957,19.29136251,73.01478837,85,RN-BSR,DN,dw-bsr
388,19.37061668,72.84119266,19.38320496,72.83198213,70,RN-BSR,DN,dw-bsr
389,19.13952,73.08222,19.14749,73.08282,95,PNVL-JL,DN,pnvl-dtvl
390,19.14386,73.08279,19.15416,73.08055,80,PNVL-JL,DN,pnvl-dtvl
391,19.16973,73.07527,19.17579,73.07073,95,PNVL-JL,DN,pnvl-dtvl
392,19.18373,73.06383,19.18874,73.05599,100,PNVL-JL,DN,pnvl-dtvl
393,19.189441,73.054861,19.195812,73.057398,20,PNVL-JL,DN,dtvl-dcc
394,19.29484,73.20268,19.3045695,73.211849,85,PNVL-JL,DN,kyn-ksra
395,19.35352,73.21382,19.35749,73.22105,90,PNVL-JL,DN,kyn-ksra
396,19.40787,73.26908,19.41004,73.27719,80,PNVL-JL,DN,kyn-ksra
397,19.47389,73.30394,19.48057,73.31394,95,PNVL-JL,DN,kyn-ksra
398,19.48057,73.31394,19.4865411,73.3228478,80,PNVL-JL,DN,kyn-ksra
399,19.50778,73.32696,19.51579,73.33267,85,PNVL-JL,DN,kyn-ksra
400,19.64087087,73.46936485,19.64620442,73.47200933,50,PNVL-JL,DN,kyn-ksra
401,19.68022,73.49216,19.68693,73.49555,30,PNVL-JL,DN,ksra-igp
402,19.70327,73.52368,19.70174,73.52951,45,PNVL-JL,DN,ksra-igp
403,19.69769,73.55307,19.69302,73.57202,15,PNVL-JL,DN,ksra-igp
404,19.693415,73.595918,19.726641,73.637868,110,PNVL-JL,DN,igp-mmr
405,19.726641,73.637868,19.739396,73.639238,95,PNVL-JL,DN,igp-mmr
406,19.739396,73.639238,19.78138,73.66234,110,PNVL-JL,DN,igp-mmr
407,19.78138,73.66234,19.79961,73.67195,85,PNVL-JL,DN,igp-mmr
408,19.79961,73.67195,19.82733,73.79016,110,PNVL-JL,DN,igp-mmr
409,19.82733,73.79016,19.83547,73.79163,100,PNVL-JL,DN,igp-mmr
410,19.83547,73.79163,19.872073,73.817616,110,PNVL-JL,DN,igp-mmr
411,19.939238,73.840241,19.959121,73.844703,110,PNVL-JL,DN,igp-mmr
412,19.979857,73.87096,19.991439,73.876213,115,PNVL-JL,DN,igp-mmr
413,20.045372,73.971065,20.048318,73.977361,110,PNVL-JL,DN,igp-mmr
414,20.083347,74.05056,20.110411,74.114885,110,PNVL-JL,DN,igp-mmr
415,20.110411,74.114885,20.15384,74.223464,115,PNVL-JL,DN,igp-mmr
416,20.180039,74.27905,20.182398,74.287455,110,PNVL-JL,DN,igp-mmr
417,20.207593,74.336102,20.212616,74.345714,110,PNVL-JL,DN,igp-mmr
418,20.237616,74.40743,20.239362,74.416243,110,PNVL-JL,DN,igp-mmr
419,20.245021,74.42451,20.24014,74.41773,110,JL-PNVL,UP,mmr-igp
420,20.209551,74.339983,20.206275,74.333732,110,JL-PNVL,UP,mmr-igp
421,20.181257,74.282792,20.178015,74.274929,110,JL-PNVL,UP,mmr-igp
422,20.15159,74.218773,20.146314,74.194758,110,JL-PNVL,UP,mmr-igp
423,20.125509,74.14538,20.102198,74.087654,115,JL-PNVL,UP,mmr-igp
424,20.102198,74.087654,20.034962,73.949488,110,JL-PNVL,UP,mmr-igp
425,19.98658,73.87574,19.98083,73.87284,80,JL-PNVL,UP,mmr-igp
426,19.95481,73.84382,19.93868,73.84023,80,JL-PNVL,UP,mmr-igp
427,19.93868,73.84023,19.937165,73.839919,110,JL-CSMT,UP,mmr-igp
428,19.875555,73.827481,19.8235,73.70616,110,JL-CSMT,UP,mmr-igp
429,19.8235,73.70616,19.81674,73.69921,75,JL-PNVL,UP,mmr-igp
430,19.81674,73.69921,19.8037,73.6822,100,JL-PNVL,UP,mmr-igp
431,19.8037,73.6822,19.79543,73.67232,95,JL-PNVL,UP,mmr-igp
432,19.79543,73.67232,19.77951,73.66118,85,JL-PNVL,UP,mmr-igp
433,19.77951,73.66118,19.73505,73.64026,110,JL-PNVL,UP,mmr-igp
434,19.73505,73.64026,19.72395,73.63656,90,JL-PNVL,UP,mmr-igp
435,19.72395,73.63656,19.69142,73.59093,110,JL-PNVL,UP,mmr-igp
